block	time	key
0	3.30012393758	right
0	7.87403492589	left
0	10.9006914667	right
0	12.0840001594	left
0	13.3248507829	right
0	15.1841381629	left
0	16.2593434629	right
0	19.0094673702	left
0	22.1431974085	down
0	25.3016449348	right
0	28.0258599717	left
0	29.7016916604	right
0	31.2353202184	left
0	32.6757670939	right
0	35.7440444461	left
0	36.7856036811	right
0	39.926517028	left
0	41.3262911875	down
0	43.1860947226	left
0	46.7862493276	right
0	51.6950296382	left
0	53.9033902633	right
0	56.2770838025	left
0	57.3120187458	right
0	62.9276652466	left
0	66.0291521957	down
0	70.0794465248	right
0	72.5463661175	left
0	73.4698245495	right
0	75.6797903867	left
0	80.0466015567	right
0	83.7207601183	left
0	89.0710452713	right
0	91.1215007857	left
0	93.9309604891	down
0	95.8895799464	left
0	101.671885668	right
0	105.856742524	left
0	109.806998761	right
0	116.249130535	left
0	118.957685851	left
0	119.807735263	right
1	0.621993094992	right
1	1.79807199488	left
1	3.03146644177	right
1	3.92188581926	left
1	10.8319652709	right
1	15.6728231991	left
1	23.491297807	right
1	27.6733991195	left
1	31.6000815585	right
1	36.9922356396	left
1	44.7249907786	right
1	47.5843412443	left
1	49.1011211129	down
1	51.6930585899	right
1	58.9600963852	left
1	66.7522603667	down
1	68.3357362212	right
1	72.0026710269	left
1	72.976328405	down
1	76.0611933505	left
1	81.186584919	right
1	87.5036589658	down
1	89.1777514234	left
1	95.3873465948	right
1	98.7793228891	down
1	101.579533758	right
1	103.87026307	left
1	105.246410911	down
1	106.938318566	left
1	108.746633975	right
1	110.770301948	left
1	114.421129396	right
2	0.627676233746	right
2	6.89597604316	left
2	9.96955409637	right
2	12.1794695254	down
2	13.9700255784	right
2	15.204747238	left
2	17.7465482508	right
2	20.4049595558	left
2	21.4386536141	right
2	22.3203985683	down
2	24.5302050313	left
2	25.6969656724	right
2	27.2053901679	down
2	29.2213952003	right
2	32.7558468897	left
2	34.2227278462	down
2	35.3476775136	left
2	37.5060610488	down
2	40.339467328	left
2	41.3718423234	right
2	43.2314384909	left
2	45.2483143463	right
2	47.5983803598	left
2	50.7069126744	right
2	51.8569897355	down
2	54.5321386507	right
2	59.4074769436	left
2	60.7074176612	down
2	61.891218965	right
2	63.3578161872	left
2	64.8733805258	right
2	66.7997031656	left
2	68.9081446248	right
2	71.9832596731	left
2	73.8835647781	right
2	75.4585029451	left
2	77.1835930308	right
2	80.5922480756	left
2	83.2007692219	left
2	84.7747843468	down
2	85.7926517632	right
2	90.9095005128	left
2	93.5347571566	right
2	95.1255110991	left
2	96.784916078	right
2	99.5757075701	left
2	100.625840412	down
2	102.175622208	right
2	103.693648093	left
2	104.225927102	right
2	110.985764987	left
2	117.827002938	right
